Player,group,Mat,Inns,NO,Runs,HS,Ave,BF,value,lastValue,Hundreds,Fifties,Ducks,year,Player_mod,rank
WTS Porterfield,IRE,8,8,1,414,104,59.14,517,80.07,57.81,2,2,0,2009,WTS Porterfield (IRE),23
WTS Porterfield,IRE,7,7,0,221,108,31.57,281,78.64,80.07,1,0,0,2010,WTS Porterfield (IRE),28
WTS Porterfield,IRE,8,8,0,254,75,31.75,369,68.83,78.64,0,3,1,2011,WTS Porterfield (IRE),35
WU Tharanga,SL,9,9,0,260,105,28.88,372,69.89,69.89,1,1,0,2005,WU Tharanga (SL),22
WU Tharanga,SL,26,24,0,1062,120,44.25,1349,78.72,69.89,5,4,2,2006,WU Tharanga (SL),16
WU Tharanga,SL,27,26,0,628,73,24.15,955,65.75,78.72,0,4,1,2007,WU Tharanga (SL),41
WU Tharanga,SL,9,8,1,138,40,19.71,278,49.64,65.75,0,0,1,2008,WU Tharanga (SL),47
WU Tharanga,SL,13,13,0,523,118,40.23,635,82.36,49.64,1,4,3,2009,WU Tharanga (SL),22
WU Tharanga,SL,20,20,2,689,118,38.27,930,74.08,82.36,1,5,3,2010,WU Tharanga (SL),34
WU Tharanga,SL,21,21,3,826,133,45.88,1091,75.71,74.08,4,2,1,2011,WU Tharanga (SL),29
WU Tharanga,SL,21,20,1,489,66,25.73,643,76.04,75.71,0,5,2,2012,WU Tharanga (SL),19
WW Hinds,WI,6,6,0,124,60,20.66,178,69.66,69.66,0,2,1,2001,WW Hinds (WI),22
WW Hinds,WI,14,13,0,388,93,29.84,486,79.83,69.66,0,3,1,2002,WW Hinds (WI),18
WW Hinds,WI,16,16,3,632,127,48.61,831,76.05,79.83,3,2,2,2003,WW Hinds (WI),17
WW Hinds,WI,4,4,0,105,82,26.25,177,59.32,76.05,0,1,0,2004,WW Hinds (WI),31
WW Hinds,WI,7,7,0,184,107,26.28,289,63.66,59.32,1,0,1,2005,WW Hinds (WI),29
XM Marshall,WI,8,8,0,87,26,10.87,196,44.38,44.38,0,0,0,2005,XM Marshall (WI),34
XM Marshall,WI,6,6,0,58,35,9.66,111,52.25,44.38,0,0,3,2008,XM Marshall (WI),46
Yasir Hameed,PAK,14,14,1,811,127,62.38,1122,72.28,72.28,2,7,0,2003,Yasir Hameed (PAK),20
Yasir Hameed,PAK,25,25,0,773,102,30.92,1144,67.56,72.28,1,2,2,2004,Yasir Hameed (PAK),23
Zahoor Elahi,PAK,6,6,0,215,86,35.83,313,68.69,68.69,0,3,0,1996,Zahoor Elahi (PAK),19
